fonte,categoria,citta,nome,indirizzo,telefono,sito,descrizione,note
PagineGialle,Hotel/B&B,Varese,Madonnina,"Largo Lanfranco da Ligurno, 1 - 21050 Cantello (VA)","0332 232924, 335 8050212",,,
PagineGialle,Hotel/B&B,Varese,Albergo Ristorante Pizzeria Lido S.r.l.,"Via al Lido, 22 - 21026 Gavirate (VA)",0332 746465,,,
PagineGialle,Hotel/B&B,Varese,Gonzaga,"Via dei Biancospini, 2/A - 21050 Cantello (VA)",0332 417012,,,
PagineGialle,Hotel/B&B,Varese,Michieletto,"Via Roma, 1312 - 22070 Valmorea (CO)","031 806209, 347 8011640",,,
PagineGialle,Hotel/B&B,Varese,Servizi per disabili,"Via Milano, 1 - 22020 Bizzarone (CO)",,,,
PagineGialle,Hotel/B&B,Varese,WhatsApp,"Via Gallarate, 2 - 21020 Brunello (VA)",,,,
PagineGialle,Hotel/B&B,Varese,Alpino,"Via per Cuasso al Piano, 1 - 21050 Cuasso al Monte (VA)",0332 939083,,,
PagineGialle,Hotel/B&B,Varese,Bel Sit,"Via Borghi, 28 - 21025 Comerio (VA)",0332 744160,,,
PagineGialle,Hotel/B&B,Varese,Piscina,"Largo Cappia, 6 - 21030 Cuvio (VA)",,,,
PagineGialle,Hotel/B&B,Varese,Tavoli all'aperto,"Via Sceree, 66 - 21020 Bodio Lomnago (VA)",,,,
PagineGialle,Hotel/B&B,Varese,Ftl Rossi S.r.l.,"Via Boccaccio, 40 - 21043 Castiglione Olona (VA)","0331 856311, 0331 858211, 0331 857524",,,
PagineGialle,Hotel/B&B,Varese,Il Canneto,"Via Bertolla Fratelli, 59 - 21050 Porto Ceresio (VA)","0332 917633, 0332 917633",,,
PagineGialle,Hotel/B&B,Varese,Impero,"Via dei Bucaneve, 1 - 21050 Cantello (VA)","0332 418006, 348 3601089",,,
PagineGialle,Hotel/B&B,Varese,Piscina,"Via Gastaldi, 31 - 21050 Besano (VA)",,,,
PagineGialle,Hotel/B&B,Varese,Suite Home,"Vicolo Bossi, 1 - 21026 Gavirate (VA)",389 0399554,,,
